ID,Is_Lead
VBENBARO,0.06016770249465967
CCMEWNKY,0.3255311611978956
VK3KGA9M,0.11688018125072534
TT8RPZVC,0.057810457430058255
SHQZEYTZ,0.054616335143340876
MZZAQMPT,0.44198707676262244
Y88TW36I,0.34098857539130045
3UGOAQNU,0.09639763619620097
VVUKMUJT,0.9836493018656236
9R363ZXS,0.20056305995427887
BLISM6JE,0.09490430276779596
CH8S7JK7,0.3129331226211885
EAHDPXEJ,0.39104795170269535
BNUK9PRF,0.4108505639308318
GP2PG6FJ,0.10303236808907582
WNQCSN8A,0.0743661138680943
32DN4YVZ,0.457585142974065
GXAMDANM,0.11269986992547713
MXETLUP4,0.3753231955726027
MPXK6TVE,0.6582143005854201
LBSIME2K,0.40505246696700586
D6ORJTM6,0.09987327628731348
HGDIBAKA,0.5690239723437502
UUZYL9DZ,0.5543847357492883
AUGE3VWK,0.12150856733847222
MX7GOX6Q,0.49738377540940015
TQN6K35W,0.21787107316328494
QQDRMQQN,0.5426832261401987
UP6GC6F4,0.23959976396326918
BMHBUVHB,0.6680220796743584
KGLDW86A,0.47972175929068556
FQEOMOP4,0.18902414048546293
DYWM5MEU,0.24189334196390014
DXHGXV8F,0.14646285365670636
AVFBFQKC,0.24852438473070154
DBIDKYMV,0.5897320827764758
KYZHMEBY,0.3426399113227303
SSFEBUGF,0.10078348402328859
MGJTAG8X,0.5587310900134598
MP6BERDO,0.1971567151695919
GXZ8ED68,0.1005616642884951
ICTFGWQR,0.682524428186175
EAYHTRKH,0.06424149300697563
6FN97QLQ,0.13515253122480445
3H5MZDDW,0.4345347286046499
2DXZZWSN,0.14015083433742925
MM4QIRE5,0.5172748229629122
HJWVYXUA,0.19404048642457236
RBRSJUP3,0.2884997218122324
YFRQKGXW,0.4464220136748162
N3SADEBV,0.22986651518088824
G2A2YYXY,0.07190101037158442
XMGA3WT3,0.36780467002855316
KVZQPSGI,0.4952153401817881
UAKARBBG,0.09001430012852665
WYKKL85Z,0.21356983155093787
GHNYYGRR,0.15653992266637903
UBAJANWT,0.10057079310820081
LSARSF7U,0.036758403862956986
4CNSJVVR,0.30627569777105196
JRHJSWYO,0.3560071470579513
FHZ8SVVI,0.19647309326596119
JUIRE47M,0.08896653023988534
GDIVN2GL,0.1913053202713693
WMF3DYE3,0.5433264339272456
MAQEHEWK,0.25411336952035146
2W8DLKFU,0.11901704892501166
AKGRML6H,0.13481008252238993
B7WUUGCY,0.14209606690179738
TLJOYATM,0.5487434197859579
UH6ZDM3W,0.17761006897123113
7IP5SSRR,0.8301880235731462
PV85PMEB,0.5718043182865595
FGDOY4NI,0.10606905497555537
7YYIXJQE,0.3407058710270842
BHW42XPW,0.3824271193824875
3PKEEAT4,0.3880955331760438
ACFPZ3LM,0.1029735542753348
6GORGNYN,0.34643925525942393
AEPQTMJK,0.30007861764431504
S6FNZFKK,0.12248283994770141
JTYNEKRQ,0.7902785512941042
GPXDPHHC,0.2174377276856836
O8TMKNNB,0.24664368033185438
XSQVHKYG,0.10318034819888333
MJ3CZRAE,0.045605193364359614
3NSQEYBJ,0.7007704866141671
SXVBASGH,0.11024515766347624
5ZIGZYSS,0.1777316894804905
FQSHBCUT,0.38775269882576135
MU45XUBP,0.20711246523904575
BVULDPBI,0.24534625838977842
82GRNPFG,0.1617432666740927
KKBNELBF,0.08379325304356647
HXQGBDGY,0.08559382399074637
28HDZICG,0.6534098344090805
GHBPKPJC,0.10052180840947833
FDWZFSSC,0.3370775008667972
FWTIWZF3,0.1010811929994527
JYMHVPMY,0.16539872766429012
AHUDO2T6,0.3781309162218468
ACDHABS3,0.38689227498683376
5NTYJJDV,0.2601761773007698
2M4VPY4V,0.40956363054783357
KAHP9XLF,0.3760294694320774
YRLEWZFQ,0.382639072972848
JZWVLXHJ,0.22183472752555272
JZZSXUKT,0.32976496149466794
93RURE2J,0.4967834230948335
4RNB6FDV,0.7643075424948457
27E7HMMG,0.11981994532395034
2QEFQQWN,0.10653694437282449
DDTCD2XI,0.31861792853995025
VGVEYSEG,0.39223581870119334
WCXVE7RK,0.19989700012162862
RTN4R3UE,0.07788401648288129
K2PVS4RB,0.08551741357693786
Q36J686Z,0.3226342023339086
NWKHMEOF,0.5687669193681829
PVJYQQGT,0.39724108100728717
GPUMRNWC,0.1051899279283172
LXHCDSVH,0.48934061601424783
BNIUPSVK,0.44499522016078635
FW3QI3WW,0.2346043718597104
IEEUGXMY,0.09156906811618282
FVVXDLBO,0.11533790130647723
UC2JJB6Y,0.3317104579730202
3WPAHP52,0.5418663899669065
HDTCJJOE,0.5869197635650973
UCSB9GKK,0.3492408504022793
HANBFYTH,0.15597933149210966
FLUU2HNV,0.11894183786912989
64PIYWDJ,0.21272463444042555
9AHNH8ZX,0.29823813278604133
KLHUI2SE,0.288156462540524
YRHYUJFW,0.603335749286571
G5RWWH7F,0.18115913190267316
SCBT9BAX,0.04181393579640855
UGZGLVNB,0.35730560991651134
2RRNUFBV,0.5356314609057677
B6O59TEY,0.5279669830084323
CYHRRYH6,0.1495461018244016
GGYZVHWU,0.35901419674996404
K6AM97RN,0.329257201433327
ATM5JQYM,0.3032660752033139
7GYZSGWA,0.08880901776707872
DFWUDQCR,0.21575671367621346
E2Z98CR3,0.13204864653618378
GD9KTSLY,0.10033955030852648
2AMRA4OD,0.14133628458467426
CFHZ3ZE6,0.4335344449983812
BOMLVM5K,0.10875226880206633
OBBEGBSY,0.48881976445273245
FJEHOK8W,0.07121520712703172
3GMAEVPJ,0.13511496011396404
WAVDLUTH,0.11767993896873115
6EN8GZX6,0.377090372014135
VXGA3GKB,0.5102861400955031
U4MZ3U8C,0.5633314046784295
GU4RDP8S,0.3874573491180625
N3TPNHCD,0.13543141854797203
JRRHWQC8,0.643502822335305
NZ5GBHZK,0.16699475073744452
LCUC2LAJ,0.439158755368418
DJDSU9D2,0.963961505917533
647K6DBR,0.18782932628486868
7NFXVESK,0.2952089147033659
EWUWF25N,0.110330823817443
7QKYPLA8,0.21244456295578543
XQVXWBNO,0.09969618931518885
CNWH4MVA,0.10389441194790003
AFJUJFQD,0.35029909702527084
QKMFDX9H,0.5550063938575837
YYMB5QBY,0.27265877865699123
IRY3SEX7,0.384262151629596
CUAUZJH8,0.5094485796911397
JYFUYQF5,0.42869026592135784
I4NYEDFE,0.5554183691598412
M3RSPRGQ,0.5149857926933278
JIL3KWQN,0.3705517146596621
X4B5ZBWU,0.15591324447731744
AHYTHHSE,0.10812445550951028
E7EHQEQK,0.4355428205977277
FAMHAVN3,0.4523347358019587
CCGKCTR6,0.2471922270430662
6DTSELRV,0.16983911290428463
LU8X3G6O,0.6120380866644103
NPFDAUJY,0.1005819560061536
DR9PXCFU,0.0557015771202031
SHVZMWBV,0.2828848318754061
8TGXGZHX,0.515318278248947
IKRSHJFW,0.3792968730514483
TYKRZDCP,0.49080809002225373
9IDA3L7P,0.3478349404545652
ASOWCMDB,0.2148807562303569
KZ5J2JGC,0.5134031379367089
D5UCFKTV,0.11052339304386594
2N8FFP7W,0.11259462965753073
SA36MTFS,0.08227983195228816
8UDMURUH,0.13656692749657634
7VSQV6QN,0.4471109092679204
IFUG9NC5,0.10141191574203934
EQXDLQRG,0.23748164907731423
JAR8YY9J,0.11095795716021886
BS4TAF6M,0.10302073390724498
WQJ9SPT9,0.2761221779674255
7QHT4ON2,0.17153030100657624
FNGPQN7B,0.41855730517654116
DDOMDZRU,0.6346611195226958
QYR9HXHP,0.27374574482076125
S4NGXFXY,0.034210414797092845
NOJ2KSCC,0.5112907271467305
ZD2JRUNB,0.6168810502008418
GZIPTSNN,0.04980806981613605
LCFYUVE9,0.6006691122120427
PPANVU9W,0.09712139457495324
DRPV9STB,0.33697569650647863
AFSPF3WZ,0.9519456199087971
GPXEUNND,0.2900122764635092
NSADMDSM,0.2098407362394338
CKWJU8RQ,0.5759086143177985
F7MNZSSU,0.09401514033032699
BDGVMPZY,0.6164552410141889
IA3MSRTR,0.28963539326647725
JD3WTPMG,0.4048529698764629
QT6DF6EW,0.44540219381172386
NVDEMCZ2,0.20879176377281486
9B6UTJVT,0.25306351281507905
U6QYES9J,0.05480794710059293
DZQPDSPS,0.46347837206811326
CRGXVSBF,0.10599013031257068
XIHJYS2V,0.5303261635528653
7X2MC5GZ,0.41663612931247657
ZBDVXTM5,0.10200891078035425
UUBQPBR5,0.21546379036255403
CUMZFBTD,0.3356975790717237
E7QXYSQN,0.05462004576624819
6UQAJP48,0.32382048375945355
QHWB768Y,0.11432482945180461
R6RXMXOJ,0.19836433889915311
WXQGZG5K,0.07815440522395836
GCUFKLHG,0.10609138503148427
SJX4372M,0.1036664086093948
VGEAMUZZ,0.13388085791449789
ZWDXVKDF,0.275048228439964
WGMRCYLR,0.09249721184976087
SI43K5CY,0.11054574345572765
DSNBS2RS,0.48735484647091837
XIMZCKSR,0.4628745130061601
VEW9FXHT,0.04564448085349759
JZJHDDDJ,0.27431322535622854
4TYUR5HA,0.4815964881553378
UHCDFDRX,0.18408481710544455
E5QMOFUM,0.13905770886422614
PSNVWDZH,0.0947505422161956
5IQSWONG,0.3417843525871874
CEAZEPY4,0.8946428389141285
2TNRJXRX,0.04608289930301226
BFROCARA,0.07763529565168491
GRTJMRKM,0.037042219387446396
6EDAM4EU,0.3270783670154112
NRDB58KL,0.1263891687698562
TCPJCWZR,0.09550221528427899
KG8LD2BE,0.059688284811884915
FHZ3XFDV,0.3650398092969913
NZKCSDZ4,0.494090250930202
6DG6KJG4,0.10172786523557947
BVPKDUNU,0.44077339029926754
APR4PQ6X,0.06674263704641357
HPWS8YFG,0.15026980759316652
VRPBGTPU,0.2040175006441711
XBCSX7G7,0.048150046516330355
KEH3G8UA,0.48046855217746703
WXNAVFLT,0.08641436872578173
8J8NJ7M6,0.1337619767471945
D4UW7Y85,0.11566245788850311
SZRESXN7,0.09749783501257618
UUQSXK5T,0.17554890303409384
GPMUKOVY,0.4571857046030022
6FYOKAZ5,0.19504072133989164
ENUB4N9S,0.5153229694449065
KERBCSGE,0.9540368388337388
7HTA4C6J,0.49231317279088155
4BTVMT6W,0.09859892288442812
MR3J9USD,0.5406261723665717
7S83FNQW,0.5510666140349271
MSOKLC7S,0.061256922758767374
GFMNATHU,0.08673363990916215
NG4ABA6H,0.9731618208286309
3GFHRAQY,0.4142917344835813
BCSGZZPE,0.4279415194232448
PQ9MCGZC,0.273722222738314
K7N596CG,0.20786280075473718
8RUL6JEE,0.25310788324704386
CVOFJRMP,0.20171966394191748
B4FQX4HG,0.05980669533317014
W7HAQKDV,0.21874897530297824
8C5PKJ7G,0.15947053436207578
E4GQJZSQ,0.12097562744130944
UENREGNV,0.3707173916197038
CC4LYHEW,0.4672009123181025
GDKGLTBT,0.20091477608158517
G3ER8CGX,0.1417891527913677
ZG4KT59X,0.05863710065673108
