Customer ID,Loan Sanction Amount (USD)
C-26247,92007.39253204907
C-35067,66894.00547074781
C-34590,-3912.0790882579904
C-16668,51803.99763961746
C-12196,62585.01718946092
C-2600,-1361.0124585683977
C-9047,93808.08420564303
C-2206,79005.91260540235
C-25607,-1414.2282458820448
C-11606,15253.716492648116
C-3624,77549.24537506202
C-43027,1320.0733050001754
C-15190,102374.02431827382
C-25816,15117.390396106137
C-26370,42759.56049444324
C-1281,217065.28028791238
C-29433,6301.087396314706
C-36256,56548.77669302219
C-34217,40833.002660581056
C-39950,62651.192326709504
C-6756,22297.548809867476
C-26652,54747.9227815662
C-3991,71216.47798846719
C-40312,39820.8891332964
C-24580,151168.38647044837
C-4949,289.0915476713677
C-18783,81437.84022393438
C-39205,69491.91596470358
C-23784,-55.513288904747974
C-39508,102593.69520857555
C-19062,109157.7952386455
C-48140,44830.909331322466
C-11314,60954.26780384133
C-766,66955.92497840094
C-39319,6227.930694106553
C-15299,52692.780974903166
C-10298,33881.652809017396
C-25573,52209.84673131197
C-18750,22446.49835511257
C-19298,35264.2558336096
C-11497,62349.8275263099
C-42250,21873.525604557413
C-17501,48437.68196867421
C-24290,52969.8992776882
C-8590,110935.08290515826
C-8038,73384.4019199255
C-25261,-1.960871612930049
C-32634,12231.65030012679
C-15073,49335.473624515005
C-44174,19347.756595050483
C-31916,72821.88341453814
C-30620,22967.368607158995
C-12561,14741.070624877684
C-40301,106434.63768113742
C-14716,18680.438614510666
C-27558,39378.5219109719
C-32563,42167.39139420422
C-31387,20886.12966196351
C-45649,-487.01546570143745
C-22572,28578.645171762997
C-48427,66079.83607607208
C-24904,73106.9576046811
C-27683,15224.58885844638
C-43495,65561.12236763578
C-25735,26881.14618005968
C-21375,71725.11566010042
C-41309,74031.79376291472
C-7767,26638.290326811202
C-11841,470.82830035532976
C-5763,90111.0636895801
C-8389,40539.86458195982
C-16692,40889.76962515868
C-33430,103608.6433297857
C-2953,213374.84867740664
C-11912,23892.884172438386
C-6072,67297.39825540854
C-6321,40206.56193119087
C-26772,65289.5154743313
C-24747,50712.811431755144
C-20883,173375.9876883259
C-11751,51498.78706102395
C-24776,84287.6440785859
C-20642,21679.421766583695
C-9613,-242.10643420485565
C-45334,-4549.191198908342
C-37941,64160.228020610964
C-2908,40074.93030160235
C-13784,15436.591515818105
C-26710,55962.37384223054
C-1892,60673.59421104028
C-49928,101895.21081073882
C-23082,91125.0123538211
C-27939,48080.269067849906
C-41801,60.72661745885548
C-19700,9004.76935229007
C-43113,39422.85391565586
C-27336,85414.37334529767
C-36772,40148.93617568457
C-3197,9728.148981211289
C-14674,83877.70514271803
C-5092,19317.448068162335
C-41664,2568.1713890988694
C-85,32776.41846407743
C-48382,45071.59573673205
C-35744,84881.92197801745
C-32776,563.5204095126521
C-49131,3281.743943088018
C-29703,22284.346570905614
C-14880,36794.120427681475
C-36170,-310.7407126874909
C-41645,-196.07743139362424
C-4784,41801.36786053993
C-38418,68946.95102545794
C-13222,73027.41967283093
C-32852,22493.23063597861
C-21795,27095.740832493113
C-121,37778.879437478725
C-39952,35175.34056490323
C-45166,-2771.9279751165805
C-32641,55639.60757696303
C-27678,17611.343231388502
C-10704,259.7726408721373
C-33461,22080.96597131901
C-22001,93388.41611101727
C-30170,62359.60675896501
C-23960,61153.41652275445
C-16139,19900.08457820787
C-27022,10617.11840792823
C-19074,23517.98779381142
C-49284,4629.485955393719
C-8598,43004.086632700055
C-14962,28879.77990014807
C-35254,946.9643377181902
C-30635,833.8852636270692
C-6981,14762.523804511191
C-5924,33721.08157217266
C-9590,39656.873111831694
C-23842,64179.85174673858
C-45972,7750.564358830984
C-39623,73837.85109238404
C-49153,554.35415730297
C-34958,74162.22434339735
C-36476,56155.46770697004
C-28630,635.7930033259531
C-12012,69349.27677044776
C-37986,74719.8656316425
C-11513,62750.65943265099
C-48999,73464.33747959924
C-7194,55292.17875593977
C-14162,61489.770080979375
C-6137,12409.309930739893
C-7348,85.55301052080834
C-25756,480.43403036354294
C-40915,94459.45610046161
C-28646,24880.776853871594
C-31130,46653.77362030937
C-8532,14454.538016660594
C-24097,32212.283210571863
C-1855,22965.85124198135
C-35375,39434.0470352148
C-3997,153956.95385752516
C-42188,47906.2570849776
C-33694,9107.461788439938
C-1613,28994.03754241225
C-9405,75135.40275521111
C-5964,29832.452932418346
C-20231,30104.654936699793
C-23969,12732.990104699431
C-36011,5433.609420974335
C-23079,101340.21624839594
C-44925,4704.713827756525
C-9000,88307.86514742466
C-49513,503.24062093057097
C-49824,1461.224788763806
C-17542,95128.22927196685
C-39446,44651.32255195686
C-24862,27424.217246762375
C-30025,39538.45578109449
C-20039,23602.409403413443
C-34113,92441.83584449207
C-19871,53499.312799411404
C-7017,24222.91853655807
C-16017,77778.46286566411
C-1475,73011.87881602747
C-35040,63599.6452138344
C-37318,16902.901914284215
C-4757,71543.93812662442
C-26696,46260.37775416258
C-2450,110964.0175093059
C-38702,45274.17413037949
C-31969,44087.78246034131
C-34069,23048.04220285456
C-23160,29225.880412485312
C-30804,-840.1698790154137
C-49195,59719.85672265534
C-13029,51451.498888231545
C-39590,113.388339051972
C-45950,934.1166847159096
C-1907,157285.22239874685
C-9729,30689.928987617935
C-24353,44552.27229645954
C-3768,101124.71815306378
C-48652,207763.24714352374
C-14858,10867.943121161004
C-32326,25077.817023430376
C-35385,-1728.0772201042093
C-45900,69168.64542054285
C-5823,39812.63479439613
C-29879,46405.10602250229
C-2015,45238.64833241471
C-19823,56754.5059689271
C-19528,61870.047281815205
C-40682,80849.21970627827
C-49354,-2864.9256092169153
C-25744,107674.19162062996
C-14328,59996.13042744054
C-2727,77168.88854233627
C-45497,19370.943467928835
C-17894,194958.03860680974
C-10903,25666.445081158377
C-39413,50115.61540541673
C-4926,29426.82486256371
C-29376,24.595836335830583
C-7440,38938.83408555945
C-38279,39521.96944097572
C-43246,55214.88508133829
C-33701,-2892.2398684236437
C-1603,113046.23784436252
C-21756,243.4151281593787
C-20553,166.56004877316235
C-40318,61.27259232651877
C-23274,35587.918689104335
C-3521,2722.9723826403538
C-19742,45988.66024153089
C-42176,1294.79937913642
C-33938,106944.45399814316
C-20363,97439.93317015075
C-1614,100437.56827907059
C-22568,537.1969382536533
C-24796,36751.42297805246
C-25092,54446.981749010054
C-40256,32207.4051228061
C-27504,49692.403454286155
C-25753,76384.99803640213
C-27194,45674.888341335856
C-17798,327.1788610814766
C-11864,32815.19451216879
C-722,21652.651723120554
C-8111,138351.19639547335
C-25051,-164.96736082993894
C-42216,45056.9464756028
C-20767,322.20326165124624
C-22334,56139.50819426654
C-23551,46698.04859960942
C-48437,2004.8447806462882
C-21452,53824.27983064996
C-16307,50660.2289318437
C-29324,35522.84456611653
C-4513,251.31307348694742
C-32774,22048.64902929903
C-15695,24001.307807520705
C-48811,102962.15941768004
C-24101,69926.905234919
C-17567,35191.168601560326
C-3203,40954.385662429304
C-27870,62770.989419698395
C-34250,-1371.5020193788985
C-6052,42858.973936051654
C-33730,83036.43682002768
C-33735,51871.837668466775
C-41784,101.46163519252087
C-36379,56946.70052194708
C-37051,52128.929342411124
C-45284,13995.532913428284
C-22611,24267.655706224003
C-15220,19293.35135509489
C-46916,22473.019208491496
C-16477,-1213.2513015266686
C-32921,67581.81240049495
C-10743,64945.76119303587
C-25717,12688.78738387446
C-38804,61700.38423214482
C-47665,104165.98349412225
C-47745,37486.01141402517
C-8340,115098.63530796103
C-35857,1303.5944069694958
C-13835,61925.53244320441
C-8181,108941.26767990744
C-7606,16922.717714594386
C-28889,86134.69579641143
C-19884,22272.45188607444
C-26792,-1068.243287204789
C-29963,67696.9154196097
C-23208,17317.505270944726
C-26232,120822.1457596085
C-38972,-1140.4330953446922
C-28626,90125.22468194587
C-3278,6984.453939175654
C-9079,24840.668713458916
C-18569,35861.065718329504
C-43756,1208.7388080727667
C-17687,50342.5374666077
C-5824,90548.27889366321
C-6145,23217.124394299735
C-5160,26372.329656237827
C-13520,41206.98214474521
C-2648,23375.686770334276
C-9345,163611.72231966467
C-46369,194819.69519864596
C-34024,29834.259517203875
C-37594,26972.18561636843
C-16600,51618.7506761358
C-12689,89136.01589363327
C-31285,-63.38076555767532
C-20977,65128.17727810434
C-8645,69140.70065201879
C-28949,63461.00335728083
C-42339,-626.0606886297634
C-18516,75213.74819157262
C-26843,18358.31134734911
C-37352,53816.398452235444
C-9621,31582.895169988216
C-40583,36524.28947724431
C-44959,46368.876269986984
C-10087,72793.16799653339
C-31261,124737.77714291184
C-2632,52852.429984673945
C-35797,83063.67896104525
C-9943,27140.891188873946
C-48614,52.67724520978752
C-38577,30801.3812698915
C-9012,15748.638673954634
C-22068,31286.44068804706
C-34390,9585.29118893784
C-17445,20870.237325200847
C-42960,23451.343731187066
C-29172,23871.342255938038
C-8067,16696.80324060511
C-19101,188.32168682450956
C-16365,971.405450787142
C-46578,100288.81618895826
C-7726,45887.60984846863
C-11802,68773.79517876415
C-26157,282.69348911875676
C-12804,12173.96251202647
C-13829,27275.52833152429
C-16434,49682.87760132739
C-27426,132414.42474235676
C-40208,119056.67325173401
C-35800,26949.405274118508
C-14093,2082.442947574363
C-11648,134531.04773162314
C-44330,44421.83994720332
C-3517,61217.07567158827
C-21658,67057.48597268871
C-6711,29496.018614082674
C-16178,26486.05702712883
C-19315,43299.006147106906
C-12505,-1788.5145590334566
C-39404,67278.51791623722
C-23783,428.9788474316143
C-40002,46285.620037572844
C-30526,22654.500473962114
C-8034,42067.93517299586
C-33801,137136.635242054
C-44646,-757.6175557970989
C-32172,21865.965269003522
C-15887,-343.6931770088952
C-391,1301.9326819344565
C-35271,143263.16772549995
C-45419,22140.230245333485
C-26170,-1229.0541489045909
